id,name,longitude,latitude,distance,rate,kinds,country
9580162,Дол имени Гулаева,37.3022614,44.9553566,6785.98910682,1,"accomodations,other_hotels",Россия
5667774,Общежитие,37.2957687,44.9548607,6834.44912274,1,"accomodations,hostels",Россия
1770371,Пограничник России,37.2969894,44.9557724,6911.12389105,1,"resorts,accomodations",Россия
5667775,Общежитие,37.2950439,44.955555,6922.93502313,1,"accomodations,hostels",Россия
1770886,Петроградский форт,37.2921219,44.95681,7116.57341368,1,"accomodations,other_hotels",Россия
1770896,Журавли,37.2969284,44.9587402,7234.28799612,1,"guest_houses,accomodations",Россия
1770893,Пансионат «Радуга»,37.294796,44.9586678,7263.49337105,1,"accomodations,other_hotels",Россия
1770905,Селини,37.2976952,44.9592819,7280.78556556,2,"accomodations,guest_houses",Россия
1770885,Караван,37.2898331,44.9587479,7373.1555039,1,"accomodations,other_hotels",Россия
1770894,Колибри,37.2935867,44.9596329,7390.56651545,1,"accomodations,other_hotels",Россия
1770892,Ателика Олимп,37.2911415,44.9594002,7414.45994326,1,"accomodations,other_hotels",Россия
9953997,Яринка,37.2969017,44.9607048,7448.16542744,1,"guest_houses,accomodations",Россия
5667800,"ГД ""Томич""",37.2922211,44.959938,7450.11669369,1,"guest_houses,accomodations",Россия
1770898,гостевои дом «диво дивное»,37.2953529,44.9606323,7466.15146073,2,"accomodations,guest_houses",Россия
5667797,"ГД ""Лотос""",37.2919998,44.960144,7476.38206318,1,"guest_houses,accomodations",Россия
9580191,Пикассо,37.2951813,44.960804,7487.89057715,1,"accomodations,other_hotels",Россия
9626061,"ГД ""Томич"" (корпус 2)",37.2925911,44.9603806,7490.18804119,1,"guest_houses,accomodations",Россия
1770891,О! Деревня в Анапе,37.2901306,44.9599648,7496.37856946,1,"accomodations,other_hotels",Россия
1770895,BellaVita,37.2942886,44.9614716,7575.83273965,1,"accomodations,other_hotels",Россия
9580195,Шоколад,37.2923622,44.9619751,7666.38800735,1,"accomodations,other_hotels",Россия
1770907,ЮжАнна,37.2940445,44.9627075,7714.21219002,2,"accomodations,guest_houses",Россия
5667816,Олимп,37.3167725,44.9650383,7772.37550201,1,"accomodations,guest_houses",Россия
9515153,Фея-3,37.2890587,44.9624138,7781.38998624,1,"accomodations,other_hotels",Россия
1770901,Фея-3,37.2884636,44.9625282,7806.64459849,1,"accomodations,other_hotels",Россия
5667785,Сибур-Юг,37.2844048,44.9620667,7854.08433757,1,"accomodations,other_hotels",Россия
1770906,мини-отель family hug,37.2928238,44.9643974,7919.09040466,2,"accomodations,guest_houses",Россия
9580179,Прометей,37.2868423,44.9635429,7951.45484079,1,"accomodations,other_hotels",Россия
8570035,гостевои дом экодом белые росы,37.2931633,44.964817,7958.31511332,2,"accomodations,guest_houses,tourist_facilities,conveniences,shops",Россия
1770872,Северное сияние,37.2835159,44.9629745,7971.88883079,1,"accomodations,other_hotels",Россия
9953995,Северное Сияние 2,37.282505,44.9634705,8050.36079252,1,"campsites,accomodations",Россия
1770866,Северное Сияние 2,37.2826691,44.9635277,8051.7972654,1,"campsites,accomodations",Россия
