id,xid,name,longitude,latitude,distance,rate,osm,kinds,country
9644082,W601029096,,37.2823982,44.9645958,8171.22829689,0,way/601029096,"guest_houses,accomodations",Unknown
9644081,W601029094,,37.2817154,44.9645271,8181.82508121,0,way/601029094,"guest_houses,accomodations",Unknown
9644080,W601029093,,37.2818794,44.9646416,8189.27951391,0,way/601029093,"guest_houses,accomodations",Unknown
9644077,W601029099,,37.2806396,44.9643745,8194.25454961,0,way/601029099,"guest_houses,accomodations",Unknown
9644078,W601029100,Александра,37.2808037,44.9644737,8200.16237579,1,way/601029100,"guest_houses,accomodations",Unknown
9626060,W601029095,,37.2820969,44.9647942,8199.94179146,0,way/601029095,"guest_houses,accomodations",Россия
9580180,W333272382,отель катран,37.2830238,44.9652061,8219.57749919,2,way/333272382,"accomodations,other_hotels",Россия
9626059,W601029110,,37.2817688,44.9650269,8232.5119497,0,way/601029110,"guest_houses,accomodations",Россия
9580178,W224534882,Белая Лилия,37.2797165,44.9646721,8250.71337931,1,way/224534882,"accomodations,other_hotels",Россия
1770879,W591279394,Лазурный Берег,37.2796478,44.9660759,8398.69045644,1,way/591279394,"accomodations,other_hotels",Россия
9580176,W333272365,Юнга,37.281868,44.9666519,8400.70546448,1,way/333272365,"accomodations,other_hotels",Россия
1770766,N4341926704,У Любавы,37.4273224,44.8937073,8779.13048051,1,node/4341926704,"accomodations,other_hotels",Россия
9580187,W838496840,,37.2809868,44.9698219,8756.71786179,0,way/838496840,"accomodations,other_hotels",Россия
5667796,W224619128,Волна,37.2758141,44.9685326,8761.06996387,1,way/224619128,"accomodations,other_hotels",Россия
9580186,W838496839,,37.281189,44.9702721,8799.36440817,0,way/838496839,"accomodations,other_hotels",Россия
9580181,W125178844,Черноморец,37.272995,44.9698143,8976.43383692,1,way/125178844,"accomodations,other_hotels",Unknown
9544399,W224612230,,37.2764473,44.9713249,9033.50518006,0,way/224612230,"accomodations,other_hotels",Unknown
1770870,R12943919,Апарт-отель «Кавказ»,37.276432,44.9713631,9037.69261065,1,relation/12943919,"accomodations,other_hotels",Unknown
1770871,W224530531,Одиссея,37.2709618,44.9725456,9317.91781726,1,way/224530531,"accomodations,other_hotels",Unknown
1770877,N4344728590,"пансионат ""Селена""",37.2704124,44.9734039,9422.8513477,1,node/4344728590,"accomodations,other_hotels",Unknown
9580185,W224530526,Селена,37.2706985,44.9734917,9423.21552468,1,way/224530526,"accomodations,other_hotels",Россия
1769958,W130847368,Дом отдыха Москва,37.2679443,44.9740219,9562.13884945,1,way/130847368,"accomodations,other_hotels",Россия
1770878,N1803662140,Санаторий Парус,37.2709351,44.9752655,9598.52308835,1,node/1803662140,"accomodations,guest_houses",Россия
9580184,W127703695,Анапа,37.2675018,44.9747009,9645.35107896,1,way/127703695,"accomodations,other_hotels",Россия
5667677,W127703748,морские рифы пансионат,37.2646904,44.9746704,9732.70822716,2,way/127703748,"accomodations,other_hotels",Россия
5667676,W224530536,Антарес,37.2641716,44.9748192,9764.9308534,1,way/224530536,"accomodations,other_hotels",Россия
9580183,W125177289,Жемчужина России,37.2672386,44.9762611,9812.69488377,1,way/125177289,"accomodations,other_hotels",Россия
9635832,N4317283990,приветливыи гостевои дом,37.2751884,44.9784737,9814.51109751,1,node/4317283990,"accomodations,guest_houses",Россия
9635834,N4317274691,приветливыи гостевои дом,37.2752037,44.9784813,9814.92271355,1,node/4317274691,"accomodations,guest_houses",Россия
9635833,N4317273397,приветливыи гостевои дом,37.2751732,44.9784775,9815.42938993,1,node/4317273397,"accomodations,guest_houses",Россия
9635835,N5690815364,Золотой телец,37.2762642,44.979023,9844.89159171,1,node/5690815364,"guest_houses,accomodations",Unknown
5667675,W126503215,Сокол,37.2644234,44.9761658,9892.38359151,1,way/126503215,"accomodations,other_hotels",Unknown
1770924,N1349282026,Каракатица,37.2745781,44.9791565,9902.10021565,1,node/1349282026,"accomodations,other_hotels",Unknown
9544344,W224530537,Морячок,37.2651443,44.9771347,9967.3861382,1,way/224530537,"accomodations,other_hotels",Unknown
9580076,W127703666,отель золотые барханы,37.2622414,44.9762115,9969.77382283,2,way/127703666,"accomodations,other_hotels",Unknown
9544398,W126503217,Космос,37.2674408,44.9778786,9971.96693798,1,way/126503217,"accomodations,other_hotels",Unknown
1770917,W130369606,"База отдыха ""Чайка""",37.2711754,44.9798355,10064.89512821,1,way/130369606,"accomodations,other_hotels",Россия
9580196,W126503206,FioLeto,37.2682648,44.9791107,10073.64032,1,way/126503206,"accomodations,other_hotels",Россия
1769971,N7557386306,,37.2635803,44.9779129,10096.94235331,0,node/7557386306,"accomodations,other_hotels",Россия
5667809,W267341153,Даймонд,37.2717247,44.9804916,10118.13119957,1,way/267341153,"guest_houses,accomodations",Россия
5667807,W287209950,отель панорама,37.2696686,44.9800644,10131.11328532,2,way/287209950,"accomodations,other_hotels",Россия
5667808,W267341141,Батарейная 1,37.2715416,44.9805908,10133.6705942,1,way/267341141,"guest_houses,accomodations",Россия
9580198,W508409553,Прованс,37.269474,44.9802055,10151.7159857,1,way/508409553,"accomodations,other_hotels",Россия
1770002,N7557386305,Отель «Фюнф»,37.2655563,44.9793968,10185.02844886,1,node/7557386305,"accomodations,other_hotels",Россия
9580197,W717914474,FioLeto,37.2676964,44.9801102,10193.4475234,1,way/717914474,"accomodations,other_hotels",Россия
